year	title
1934	Harlem After Midnight
1934	Have a Heart
1934	He Was Her Man
1934	The Hell Cat
1934	Here Comes the Navy
1934	Here is My Heart
1934	Hide-Out
1934	Hollywood Party
1934	House of Mystery
1934	The House of Rothschild
1934	Housewife
1934	I Am a Thief
1934	I've Got Your Number
1934	Imitation of Life
1934	It Happened One Night
1934	It's a Gift
1934	Jimmy the Gent
1934	Journal of a Crime
1934	Judge Priest
1934	Kansas City Princess
1934	Keep 'Em Rolling
1934	Kentucky Kernels
1934	Kid Millions
1934	Lady by Choice
1934	The Last Round-Up
1934	Laughing Boy
1934	Limehouse Blues
1934	The Line-Up
1934	Little Man, What Now?
1934	The Little Minister
1934	Little Miss Marker
1934	Looking for Trouble
1934	A Lost Lady
1934	The Lost Patrol
1934	The Lucky Texan
1934	Madame DuBarry
1934	The Man from Utah
1934	The Man Who Reclaimed His Head
1934	The Man with Two Faces
1934	Managed Money
1934	Mandalay
1934	Manhattan Melodrama
1934	Maniac
1934	Many Happy Returns
1934	Marie Galante
1934	Melody in Spring
1934	Men in White
1934	The Merry Widow
1934	Midnight
1934	Monte Carlo Nights
1934	Moulin Rouge
1934	The Mysterious Mr. Wong
1934	The Ninth Guest
1934	Now and Forever
1934	Now I'll Tell
1934	Of Human Bondage
1934	The Old Fashioned Way
1934	One More River
1934	One Night of Love
1934	Operator 13
1934	Our Daily Bread
1934	Outcast Lady
1934	The Painted Veil
1934	Palooka
1934	Pardon My Pups
1934	Paris Interlude
1934	Peck's Bad Boy
1934	The Personality Kid
1934	Port of Lost Dreams
1934	The President Vanishes
1934	Ready for Love
1934	The Richest Girl in the World
1934	Riptide
1934	The Road to Ruin
1934	Sadie McKee
1934	The Scarlet Empress
1934	The Scarlet Letter
1934	The Secret Bride
1934	Sequoia
1934	She Love Me Not
1934	The Show-Off
1934	Side Streets
1934	The Silver Streak
1934	Six of a Kind
1934	Smoking Guns
1934	Spitfire
1934	The St. Louis Kid
1934	Stand Up and Cheer!
1934	The Star Packer
1934	Sweet Adeline
1934	Tarzan and His Mate
1934	The Thin Man
1934	Thirty Day Princess
1934	This Man Is Mine
1934	This Side of Heaven
1934	The Trail Beyond
1934	Treasure Island
1934	Twentieth Century
1934	Twenty Million Sweethearts
1934	Two Heads on a Pillow
1934	Uncertain Lady
1934	Upperworld
1934	Viva Villa!
1934	We Live Again
1934	We're Not Dressing
1934	We're Rich Again
1934	Wednesday's Child
1934	West of the Divide
1934	West of the Pecos
1934	What Every Woman Knows
1934	Whirlpool
1934	The White Parade
1934	Whom the Gods Destroy
1934	A Wicked Woman
1934	Wild Cargo
1934	The Witching Hour
1934	The Woman Condemned
1934	Woman in the Dark
1934	Wonder Bar
1934	The World Moves On
1934	The Yiddish King Lear
1934	You Belong to Me
1934	You Can't Buy Everything
1934	You're Telling Me!
1934	Young and Beautiful
1935	After Office Hours
1935	Ah, Wilderness!
1935	Air Hawks
1935	Alice Adams
1935	Anna Karenina
1935	Annie Oakley
1935	The Arizonian
1935	Baby Face Harrington
1935	Barbary Coast
1935	Becky Sharp
1935	The Best Man Wins
1935	The Big Broadcast of 1936
1935	Biography of a Bachelor Girl
1935	The Bishop Misbehaves
1935	Black Fury
1935	The Black Room
1935	Bordertown
1935	The Bride Comes Home
1935	Bride of Frankenstein
1935	Broadway Melody of 1936
1935	The Call of the Wild
1935	Captain Blood
1935	Captain Hurricane
1935	Car 99
1935	Cardinal Richelieu
1935	The Case of the Curious Bride
1935	The Case of the Lucky Legs
1935	The Casino Murder Case
1935	Charlie Chan in Egypt
1935	Chasing Yesterday
1935	China Seas
1935	Circumstantial Evidence
1935	Condemned to Live
1935	Coronado
1935	Crime and Punishment
1935	The Crime of Dr. Crespi
1935	The Crusades
1935	Curly Top
1935	Danger Ahead
1935	Dangerous
1935	Dante's Inferno
1935	The Dark Angel
1935	David Copperfield
1935	Devil Dogs of the Air
1935	The Devil is a Woman
1935	A Dog of Flanders
1935	East of Java
1935	Eight Bells
1935	Escapade
1935	Every Night at Eight
1935	The Farmer Takes a Wife
1935	Fighting Caballero
1935	The Flame Within
1935	Four Hours to Kill
1935	Freckles
1935	Frisco Kid
1935	Front Page Woman
1935	G Men
1935	Gigolette
1935	The Gilded Lily
1935	The Girl from 10th Avenue
1935	The Glass Key
1935	Go Into Your Dance
1935	Goin' to Town
1935	Going Highbrow
1935	Gold Diggers of 1935
1935	The Good Fairy
1935	Grand Old Girl
1935	The Great Impersonation
1935	Hands Across the Table
1935	The Headline Woman
1935	The Healer
1935	Here Comes the Band
1935	Home on the Range
1935	Hi, Gaucho!
1935	Hooray for Love
1935	Hop-Along Cassidy
1935	Hot Tip
1935	I Dream Too Much
1935	I Live for Love
1935	The Imperfect Lady
1935	In Caliente
1935	In Old Kentucky
1935	The Informer
1935	It's a Small World
1935	Justice of the Range
1935	Kind Lady
1935	Laddie
1935	The Last Days of Pompeii
1935	The Last Outpost
1935	Life Begins At Forty
1935	Life Returns
1935	Little Big Shot
1935	The Little Colonel
1935	The Littlest Rebel
1935	The Lives of a Bengal Lancer
1935	Living on Velvet
1935	Love in Bloom
1935	Love Me Forever
1935	Mad Love
1935	Magnificent Obsession
1935	Make a Million
1935	Man on the Flying Trapeze
1935	The Man Who Broke the Bank at Monte Carlo
1935	Manhattan Moon
1935	Mark of the Vampire
1935	Maybe It's Love
1935	Men of Action
1935	Men Without Names
1935	Metropolitan
1935	Midnight Phantom
1935	A Midsummer Night's Dream
1935	Les Misérables
1935	Miss Pacific Fleet
1935	Mississippi
1935	Mister Dynamite
1935	Moonlight on the Prairie
1935	Murder in Harlem
1935	Murder in the Fleet
1935	The Murder Man
1935	Murder on a Honeymoon
1935	Mutiny on the Bounty
1935	The Mystery of Edwin Drood
1935	Naughty Marietta
1935	A Night at the Opera
1935	Night Life of the Gods
1935	The Nitwits
1935	No More Ladies
1935	The Nut Farm
1935	O'Shaughnessy's Boy
1935	Oil for the Lamps of China
1935	Old Man Rhythm
1935	Once in a Blue Moon
1935	One Frightened Night
1935	Our Little Girl
1935	The Pace That Kills
1935	Paddy O'Day
1935	Page Miss Glory
1935	Paris in Spring
1935	Party Wire
1935	People Will Talk
1935	The People's Enemy
1935	Peter Ibbetson
1935	Piernas de seda
1935	Princess O'Hara
1935	Private Worlds
1935	Professional Soldier
1935	Public Hero No. 1
1935	Rainbow's End
1935	The Rainmakers
1935	The Raven
1935	Reckless
1935	Red Salute
1935	Remember Last Night?
1935	Rendezvous
1935	The Return of Peter Grimm
1935	The Right to Live
1935	Roberta
1935	Rocky Mountain Mystery
1935	Romance in Manhattan
1935	Rough Riding Ranger
1935	Ruggles of Red Gap
1935	Rustler's Paradise
1935	The Scoundrel
1935	Shanghai
1935	She
1935	She Couldn't Take It
1935	She Gets Her Man
1935	She Married Her Boss
1935	The Singer of Naples
1935	Smart Girl
1935	So Red the Rose
1935	Society Fever
1935	Special Agent
1935	Splendor
1935	Star of Midnight
1935	Stars Over Broadway
1935	Steamboat Round the Bend
1935	Stolen Harmony
1935	Storm Over the Andes
1935	Stormy
1935	Stranded
1935	Sweet Music
1935	A Tale of Two Cities
1935	Ten Dollar Raise
1935	Thanks a Million
1935	The Three Musketeers
1935	Times Square Lady
1935	To Beat the Band
1935	Top Hat
1935	Tumbling Tumbleweeds
1935	Twenty Dollars a Week
1935	Under Pressure
1935	Under the Pampas Moon
1935	Vanessa: Her Love Story
1935	Village Tale
1935	Waterfront Lady
1935	Way Down East
1935	The Wedding Night
1935	We're Only Human
1935	Werewolf of London
1935	West Point of the Air
1935	Westward Ho
1935	While the Patient Slept
1935	Whipsaw
1935	The Whole Town's Talking
1935	Wings in the Dark
1935	The Woman in Red
1935	Woman Wanted
1935	Your Uncle Dudley
1936	15 Maiden Lane
1936	36 Hours to Kill
1936	Absolute Quiet
1936	The Accusing Finger
1936	Aces and Eights
1936	After the Thin Man
1936	All American Chump
1936	Along Came Love
1936	And So They Were Married
1936	Anthony Adverse
1936	Anything Goes
1936	Banjo on My Knee
1936	Beloved Enemy
1936	Bengal Tiger
1936	Beyond the Caribbean
1936	The Big Broadcast of 1937
1936	Big Brown Eyes
1936	The Big Game
1936	The Big Noise
1936	The Big Show
1936	The Bohemian Girl
1936	Border Flight
1936	Born to Dance
1936	Born to Fight
1936	The Bride Walks Out
1936	The Bridge of Sighs
1936	Bullets or Ballots
1936	Cain and Mabel
1936	Camille
1936	Can This Be Dixie?
1936	Captain Calamity
1936	Captain January
1936	The Case Against Mrs. Ames
1936	The Case of the Black Cat
1936	Ceiling Zero
1936	The Charge of the Light Brigade
1936	Charlie Chan at the Opera
1936	Chatterbox
1936	China Clipper
1936	Colleen
1936	College Holiday
1936	Come and Get It
1936	Counterfeit
1936	The Country Doctor
1936	Crack-Up
1936	Craig's Wife
1936	Crash Donovan
1936	Dangerous Waters
1936	Daniel Boone
1936	Death in the Air
1936	Desire
1936	Devil's Squadron
1936	The Devil-Doll
1936	Dimples
1936	Dodsworth
1936	Don't Turn 'Em Loose
1936	Doughnuts and Society
1936	Down the Stretch
1936	Dracula's Daughter
1936	Early to Bed
1936	Ellis Island
1936	Empty Saddles
1936	Everybody's Old Man
1936	Exclusive Story
1936	A Face in the Fog
1936	The Farmer in the Dell
1936	Fatal Lady
1936	First Baby
1936	Florida Special
1936	Follow the Fleet
1936	Follow Your Heart
1936	Forgotten Faces
1936	Frankie and Johnnie
1936	Freshman Love
1936	Fury
1936	Gambling with Souls
1936	The General Died at Dawn
1936	The Girl on the Front Page
1936	Go West, Young Man
1936	Gold Diggers of 1937
1936	The Golden Arrow
1936	The Gorgeous Hussy
1936	Grand Jury
1936	The Great Ziegfeld
1936	The Green Pastures
1936	Hearts Divided
1936	Her Master's Voice
1936	His Brother's Wife
1936	Hollywood Boulevard
1936	Hopalong Cassidy Returns
1936	Hot Money
1936	House of Secrets
1936	Human Cargo
1936	I Married a Doctor
1936	The Invisible Ray
1936	Isle of Fury
1936	It Had to Happen
1936	The Jungle Princess
1936	King of Burlesque
1936	The King Steps Out
1936	Ladies in Love
1936	The Lady Consents
1936	Lady of Secrets
1936	The Last Outlaw
1936	The Last of the Mohicans
1936	The Lawless Nineties
1936	The Leathernecks Have Landed
1936	Legion of Terror
1936	Libeled Lady
1936	Little Lord Fauntleroy
1936	Lloyd's of London
1936	Love Before Breakfast
1936	Love on a Bet
1936	Love on the Run
1936	The Luckiest Girl in the World
1936	Lucky Terror
1936	Mad Holiday
1936	Magnificent Brute
1936	Make Way for a Lady
1936	Man of the Frontier
1936	The Man Who Lived Twice
1936	Marihuana
1936	Mary of Scotland
1936	A Message to Garcia
1936	The Milky Way
1936	Mind Your Own Business
1936	Missing Girls
1936	Modern Times
1936	The Moon's Our Home
1936	More Than a Secretary
1936	Mr. Deeds Goes to Town
1936	Muss 'Em Up
1936	My Man Godfrey
1936	Next Time We Love
1936	Night Waitress
1936	One in a Million
1936	One Rainy Afternoon
1936	Our Relations
1936	Palm Springs
1936	Parole!
1936	Pennies from Heaven
1936	The Petrified Forest
1936	Pigskin Parade
1936	The Plainsman
1936	Poor Little Rich Girl
1936	The President's Mystery
1936	The Prisoner of Shark Island
1936	Private Number
1936	Rainbow on the River
1936	Rebellion
1936	Reefer Madness
1936	Reunion
1936	Revolt of the Zombies
1936	Riffraff
1936	Road Gang
1936	The Road to Glory
1936	Roaming Lady
1936	The Rogues Tavern
1936	Romeo and Juliet
1936	Rose Marie
1936	San Francisco
1936	Satan Met a Lady
1936	Show Boat
1936	Silly Billies
1936	Silver Spurs
1936	Sing Me a Love Song
1936	The Singing Kid
1936	Sinner Take All
1936	Small Town Girl
1936	Smartest Girl in Town
1936	A Son Comes Home
1936	Special Investigator
1936	Spendthrift
1936	Stage Struck
1936	Star for a Night
1936	The Story of Louis Pasteur
1936	Stowaway
1936	Sutter's Gold
1936	Suzy
1936	Swing Time
1936	Sworn Enemy
1936	Tango
1936	Tarzan Escapes
1936	The Texas Rangers
1936	That Girl from Paris
1936	Theodora Goes Wild
1936	These Three
1936	They Met in a Taxi
1936	Thirteen Hours by Air
1936	Three Godfathers
1936	Three Smart Girls
1936	Three Wise Guys
1936	Till We Meet Again
1936	Times Square Playboy
1936	To Mary With Love
1936	Too Many Parents
1936	The Trail of the Lonesome Pine
1936	Two in a Crowd
1936	Two in Revolt
1936	Under Your Spell
1936	The Unguarded Hour
1936	Valiant Is the Word for Carrie
1936	The Walking Dead
1936	Walking on Air
1936	Wanted! Jane Turner
1936	Wedding Present
1936	The White Angel
1936	Wife vs. Secretary
1936	The Widow from Monte Carlo
1936	Winterset
1936	Without Orders
1936	A Woman Rebels
1936	Yellow Cargo
1936	Yellow Dust
1936	Yiddle with His Fiddle
1936	Yours for the Asking
1937	The 13th Man
1937	3 Dumb Clucks
1937	45 Fathers
1937	52nd Street
1937	Adventure's End
1937	The Adventurous Blonde
1937	Affairs of Cappy Ricks
1937	Alcatraz Island
1937	Ali Baba Goes to Town
1937	All Over Town
1937	Amateur Crook
1937	Angel
1937	Angel's Holiday
1937	Annapolis Salute
1937	Another Dawn
1937	Arizona Days
1937	Arizona Gunfighter
1937	Artists and Models
1937	Atlantic Flight
1937	The Awful Truth
1937	Back in Circulation
1937	Bad Guy
1937	Bank Alarm
1937	The Barrier
1937	Battle of Greed
1937	Beg, Borrow or Steal
1937	Big City
1937	Big Town Girl
1937	Black Legion
1937	Border Cafe
1937	Borderland
1937	Born to the West
1937	Borneo
1937	Breakfast for Two
1937	The Bride Wore Red
1937	Broadway Melody of 1938
1937	Bulldog Drummond Comes Back
1937	California Straight Ahead
1937	Call It a Day
1937	Captains Courageous
1937	Champagne Waltz
1937	Charlie Chan at Monte Carlo
1937	Charlie Chan at the Olympics
1937	China Passage
1937	Confession
1937	Conquest
1937	Counsel for Crime
1937	County Fair
1937	Criminal Lawyer
1937	Criminals of the Air
1937	A Damsel in Distress
1937	Danger – Love at Work
1937	Dangerous Number
1937	Dark Manhattan
1937	Daughter of Shanghai
1937	A Day at the Races
1937	Dead End
1937	The Devil's Playground
1937	Don't Tell the Wife
1937	Double or Nothing
1937	Double Wedding
1937	The Duke Comes Back
1937	Easy Living
1937	Ebb Tide
1937	Escape by Night
1937	Espionage
1937	Ever Since Eve
1937	Every Day's a Holiday
1937	Exclusive
1937	Expensive Husbands
1937	Fair Warning
1937	A Family Affair
1937	Fifty Roads to Town
1937	Fight for Your Lady
1937	The Firefly
1937	First Lady
1937	Fit for a King
1937	Flight from Glory
1937	The Game That Kills
1937	The Girl Said No
1937	A Girl With Ideas
1937	Girls Can Play
1937	The Go Getter
1937	The Gold Racket
1937	The Good Earth
1937	The Great Gambini
1937	The Great Garrick
1937	The Great O'Malley
1937	Green Fields
1937	Green Light
1937	Harlem on the Prairie
1937	Her Husband Lies
1937	Heidi
1937	Heroes of the Alamo
1937	Hideaway
1937	High, Wide and Handsome
1937	Hills of Old Wyoming
1937	History Is Made at Night
1937	Hit Parade of 1937
1937	Hitting a New High
1937	Hollywood Hotel
1937	The Holy Terror
1937	The Hurricane
1937	I Cover the War
1937	I Met Him in Paris
1937	I'll Take Romance
1937	In Old Chicago
1937	It Could Happen to You!
1937	It Happened in Hollywood
1937	It's All Yours
1937	It's Love I'm After
1937	Jungle Menace
1937	Kid Galahad
1937	The King and the Chorus Girl
1937	King of Gamblers
1937	Lancer Spy
1937	The Last Gangster
1937	The Last of Mrs. Cheyney
1937	The Last Train from Madrid
1937	Let's Get Married
1937	Life Begins with Love
1937	The Life of Émile Zola
1937	The Life of the Party
1937	Live, Love and Learn
1937	Living on Love
1937	Lost Horizon
1937	Love Is on the Air
1937	Love Takes Flight
1937	Love Under Fire
1937	Madame X
1937	Maid of Salem
1937	Make Way for Tomorrow
1937	Mama Steps Out
1937	Man of the People
1937	The Man Who Cried Wolf
1937	The Man Who Found Himself
1937	Manhattan Merry-Go-Round
1937	Mannequin
1937	Marked Woman
1937	Married Before Breakfast
1937	Marry the Girl
1937	Maytime
1937	Midnight Court
1937	A Million to One
1937	Mountain Justice
1937	Murder in Greenwich Village
1937	Navy Blue and Gold
1937	Night Club Scandal
1937	Night Key
1937	Night Must Fall
1937	Night of Mystery
1937	Nobody's Baby
1937	North of the Rio Grande
1937	Nothing Sacred
1937	Oh, Doctor!
1937	Old Louisiana
1937	On the Avenue
1937	One Hundred Men and a Girl
1937	One Mile from Heaven
1937	Outcast
1937	The Outcasts of Poker Flat
1937	Over the Goal
1937	Park Avenue Logger
1937	Parnell
1937	Partners in Crime
1937	The Perfect Specimen
1937	Personal Property
1937	Pick a Star
1937	Prescription for Romance
1937	The Prince and the Pauper
1937	The Prisoner of Zenda
1937	Quality Street
1937	Racing Lady
1937	Ready, Willing and Able
1937	Riding on Air
1937	The Road Back
1937	Rosalie
1937	San Quentin
1937	Saratoga
1937	Sea Devils
1937	Second Honeymoon
1937	Seventh Heaven
1937	Shall We Dance
1937	She Had to Eat
1937	She's Dangerous
1937	She's Got Everything
1937	Sky Racket
1937	Slave Ship
1937	Slaves in Bondage
1937	Slim
1937	Small Town Boy
1937	Snow White and the Seven Dwarfs
1937	The Soldier and the Lady
1937	Something to Sing About
1937	Song of the City
1937	Souls at Sea
1937	Stage Door
1937	Stand-In
1937	A Star Is Born
1937	Stella Dallas
1937	Stolen Holiday
1937	Submarine D-1
1937	Super-Sleuth
1937	Swing High, Swing Low
1937	Talent Scout
1937	Telephone Operator
1937	Tenth Avenue Kid
1937	That Certain Woman
1937	There Goes My Girl
1937	They Gave Him a Gun
1937	They Wanted to Marry
1937	They Won't Forget
1937	Thin Ice
1937	Think Fast, Mr. Moto
1937	The Thirteenth Chair
1937	This Is My Affair
1937	This Way Please
1937	The Toast of New York
1937	Topper
1937	Tovarich
1937	True Confession
1937	Under the Red Robe
1937	Underworld
1937	Waikiki Wedding
1937	Wake Up and Live
1937	Way Out West
1937	We Who Are About to Die
1937	Wee Willie Winkie
1937	We're on the Jury
1937	Wells Fargo
1937	West of Shanghai
1937	When You're in Love
1937	Wife, Doctor and Nurse
1937	Wild and Woolly
1937	Wild Money
1937	Wine, Women and Horses
1937	Wings over Honolulu
1937	Wise Girl
1937	Woman Chases Man
1937	The Woman I Love
1937	You Can't Beat Love
1937	You Can't Have Everything
1937	You Only Live Once
1937	You're Only Young Once
1938	Accidents Will Happen
1938	Adventure in Sahara
1938	The Adventures of Marco Polo
1938	The Adventures of Robin Hood
1938	The Adventures of Tom Sawyer
1938	The Affairs of Annabel
1938	Alexander's Ragtime Band
1938	Algiers
1938	Always Goodbye
1938	Always in Trouble
1938	The Amazing Dr. Clitterhouse
1938	Angels with Dirty Faces
1938	Annabel Takes a Tour
1938	The Arkansas Traveler
1938	Army Girl
1938	Arson Gang Busters
1938	Artists and Models Abroad
1938	Bar 20 Justice
1938	The Baroness and the Butler
1938	Battle of Broadway
1938	The Beloved Brat
1938	The Big Broadcast of 1938
1938	The Black Doll
1938	Blockade
1938	Block-Heads
1938	Blond Cheat
1938	Blondes At Work
1938	Blondie
1938	Bluebeard's Eighth Wife
1938	Born to be Wild
1938	Boy Meets Girl
1938	Boys Town
1938	Breaking the Ice
1938	Bringing Up Baby
1938	Brother Rat
1938	The Buccaneer
1938	Bulldog Drummond's Peril
1938	Call of the Yukon
1938	Campus Confessions
1938	Carefree
1938	Cattle Raiders
1938	Charlie Chan in Honolulu
1938	The Chaser
1938	Child Bride
1938	A Christmas Carol
1938	City Girl
1938	Cocoanut Grove
1938	College Swing
1938	Comet Over Broadway
1938	Condemned Women
1938	Convicted
1938	Crime Ring
1938	Crime School
1938	The Crowd Roars
1938	Danger On The Air
1938	Dangerous to Know
1938	The Dawn Patrol
1938	The Devil's Party
1938	Dr. Rhythm
1938	Dramatic School
1938	The Duke of West Point
1938	Everybody Sing
1938	Everybody's Doing It
1938	Fast Company
1938	The First Hundred Years
1938	Flight to Fame
1938	Fools for Scandal
1938	Forbidden Valley
1938	Four Daughters
1938	Four Men and a Prayer
1938	Four's a Crowd
1938	The Frontiersmen
1938	Fugitives for a Night
1938	Gang Smashers
1938	Gangster's Boy
1938	Garden of the Moon
1938	Gateway
1938	The Girl Downstairs
1938	The Girl of the Golden West
1938	Girls on Probation
1938	Go Chase Yourself
1938	God's Step Children
1938	Going Places
1938	Gold Diggers in Paris
1938	Gold Is Where You Find It
1938	The Goldwyn Follies
1938	Goodbye Broadway
1938	The Great Waltz
1938	Happy Landing
1938	Hard to Get
1938	Having Wonderful Time
1938	Hawaii Calls
1938	Heart of the North
1938	Her Jungle Love
1938	Hold That Co-ed
1938	Hold That Kiss
1938	Holiday
1938	Hunted Men
1938	I Am a Criminal
1938	I Am the Law
1938	I Demand Payment
1938	I'll Give a Million
1938	I'm From the City
1938	If I Were King
1938	In Old Mexico
1938	Island in the Sky
1938	Jezebel
1938	Josette
1938	Joy of Living
1938	Judge Hardy's Children
1938	Just Around the Corner
1938	Kentucky
1938	Kentucky Moonshine
1938	Kidnapped
1938	King of Alcatraz
1938	The Lady Objects
1938	The Law West of Tombstone
1938	Listen, Darling
1938	Little Miss Broadway
1938	Little Tough Guy
1938	The Lone Wolf in Paris
1938	Lord Jeff
1938	Love Finds Andy Hardy
1938	Love Is a Headache
1938	Mad About Music
1938	The Mad Miss Manton
1938	Man-Proof
1938	A Man to Remember
1938	Marie Antoinette
1938	Men Are Such Fools
1938	Men with Wings
1938	Merrily We Live
1938	Midnight Intruder
1938	The Missing Guest
1938	Mr. Boggs Steps Out
1938	Mr. Moto's Gamble
1938	Mr. Wong, Detective
1938	My Bill
1938	My Lucky Star
1938	The Mystic Circle Murders
1938	Nancy Drew: Detective
1938	Next Time I Marry
1938	The Nurse from Brooklyn
1938	Of Human Hearts
1938	The Old Barn Dance
1938	Out West with the Hardys
1938	Over the Wall
1938	The Painted Stallion
1938	Paradise for Three
1938	Partners of the Plains
1938	Peck's Bad Boy with the Circus
1938	Penitentiary
1938	Personal Secretary
1938	Port of Missing Girls
1938	Port of Seven Seas
1938	Prison Break
1938	Prison Farm
1938	Professor Beware
1938	Racket Busters
1938	Radio City Revels
1938	The Ranger and the Lady
1938	Rebecca of Sunnybrook Farm
1938	Red River Range
1938	Rich Man, Poor Girl
1938	Ride a Crooked Mile
1938	Room Service
1938	Rose of the Rio Grande
1938	The Saint in New York
1938	Sally, Irene and Mary
1938	Say It in French
1938	Scandal Street
1938	Secrets of a Nurse
1938	Secrets of an Actress
1938	Service de Luxe
1938	Shadows Over Shanghai
1938	Sharpshooters
1938	The Shining Hour
1938	The Ship That Died
1938	The Shopworn Angel
1938	Sinners in Paradise
1938	The Sisters
1938	Sky Giant
1938	A Slight Case of Murder
1938	Special Inspector
1938	Spirit of Youth
1938	Spring Madness
1938	Stolen Heaven
1938	Straight Place and Show
1938	Strange Faces
1938	Submarine Patrol
1938	Suez
1938	Sweethearts
1938	Swing Your Lady
1938	Swing!
1938	Swing, Sister, Swing
1938	Tarnished Angel
1938	The Terror of Tiny Town
1938	Test Pilot
1938	The Texans
1938	Thanks for Everything
1938	That Certain Age
1938	There Goes My Heart
1938	There's Always a Woman
1938	This Marriage Business
1938	Three Blind Mice
1938	Three Comrades
1938	Tip-Off Girls
1938	Too Hot to Handle
1938	Topper Takes a Trip
1938	The Toy Wife
1938	Trade Winds
1938	Tropic Holiday
1938	Two-Gun Man from Harlem
1938	Up the River
1938	Vacation from Love
1938	Valley of the Giants
1938	Vivacious Lady
1938	Walking Down Broadway
1938	White Banners
1938	Who Killed Gail Preston?
1938	Wide Open Faces
1938	Wives Under Suspicion
1938	Women Are Like That
1938	A Yank at Oxford
1938	Yellow Jack
1938	You Can't Take It with You
1938	Young Dr. Kildare
1938	Young Fugitives
1938	The Young in Heart
1939	$1,000 a Touchdown
1939	20,000 Men a Year
1939	6,000 Enemies
1939	Across the Plains
1939	The Adventures of Huckleberry Finn
1939	The Adventures of Jane Arden
1939	The Adventures of Sherlock Holmes
1939	The Adventures of the Masked Phantom
1939	All Women Have Secrets
1939	Allegheny Uprising
1939	The Amazing Mr. Williams
1939	Ambush
1939	Andy Hardy Gets Spring Fever
1939	The Angels Wash Their Faces
1939	Another Thin Man
1939	The Arizona Kid
1939	Arizona Legion
1939	The Arizona Wildcat
1939	Arrest Bulldog Drummond
1939	At the Circus
1939	Babes in Arms
1939	Bachelor Mother
1939	Back Door to Heaven
1939	Bad Boy
1939	Bad Lands
1939	Bad Little Angel
1939	Balalaika
1939	Barricade
1939	Beau Geste
1939	Beauty for the Asking
1939	Behind Prison Gates
1939	Beware Spooks!
1939	The Big Guy
1939	Big Town Czar
1939	Blackmail
1939	Blackwell's Island
1939	Blind Alley
1939	Blondie Brings Up Baby
1939	Blondie Meets the Boss
1939	Blondie Takes a Vacation
1939	Blue Montana Skies
1939	Boy Friend
1939	Boy Slaves
1939	Boy Trouble
1939	Boys' Reformatory
1939	Bridal Suite
1939	Broadway Serenade
1939	The Bronze Buckaroo
1939	Buck Rogers
1939	Bulldog Drummond's Bride
1939	Bulldog Drummond's Secret Police
1939	Buried Alive
1939	Burn 'Em Up O'Connor
1939	Cafe Society
1939	Call a Messenger
1939	Calling All Curs
1939	Calling All Marines
1939	Calling Dr. Kildare
1939	Captain Fury
1939	Career
1939	The Cat and the Canary
1939	Charlie Chan at Treasure Island
1939	Charlie Chan in City in Darkness
1939	Charlie Chan in Reno
1939	Charlie McCarthy, Detective
1939	Chasing Danger
1939	Chicken Wagon Family
1939	A Child Is Born
1939	Chip of the Flying U
1939	The Cisco Kid and the Lady
1939	Coast Guard
1939	Code of the Cactus
1939	Code of the Fearless
1939	Code of the Secret Service
1939	Code of the Streets
1939	Colorado Sunset
1939	Confessions of a Nazi Spy
1939	The Cowboy Quarterback
1939	Dancing Co-Ed
1939	Dark Victory
1939	Daughter of the Tong
1939	Destry Rides Again
1939	Dodge City
1939	Drums Along the Mohawk
1939	A Ducking They Did Go
1939	Each Dawn I Die
1939	Everything Happens at Night
1939	Everything Happens to That Guy
1939	Exile Express
1939	Faster, Muttley
1939	Faster, Mulligan
1939	5th Ave Girl
1939	First Love
1939	Five Came Back
1939	Frontier Marshall
1939	Girl from Mexico, The
1939	Golden Boy
1939	Gone with the Wind
1939	The Gorilla
1939	Gulliver's Travels
1939	Gunga Din
1939	The Hardys Ride High
1939	Heaven with a Barbed Wire Fence
1939	Hell's Kitchen
1939	Henry Goes Arizona
1939	Hollywood Cavalcade
1939	Homicide Bureau
1939	Honolulu
1939	Hotel for Women
1939	The Hound of the Baskervilles
1939	The Hunchback of Notre Dame
1939	The Ice Follies of 1939
1939	Idiot's Delight
1939	In Name Only
1939	Intermezzo: A Love Story
1939	It's a Wonderful World
1939	Jesse James
1939	Joe and Ethel Turp Call on the President
1939	Juarez
1939	Judge Hardy and Son
1939	The Kid from Texas
1939	King of the Underworld
1939	Lady of the Tropics
1939	Let Freedom Ring
1939	Let Us Live
1939	The Little Princess
1939	Love Affair
1939	Lucky Night
1939	Maisie
1939	The Man in the Iron Mask
1939	Man of Conquest
1939	The Man Who Dared
1939	Mexicali Rose
1939	Midnight
1939	Million Dollar Legs
1939	Miracles for Sale
1939	Missing Daughters
1939	Mr. Moto Takes a Vacation
1939	Mr. Smith Goes to Washington
1939	Mr. Wong in Chinatown
1939	The Mystery of Mr. Wong
1939	Nancy Drew and the Hidden Staircase
1939	Nancy Drew... Reporter
1939	Nancy Drew, Trouble Shooter
1939	Never Say Die
1939	Nick Carter, Master Detective
1939	Ninotchka
1939	Off the Record
1939	Of Mice and Men
1939	Oily to Bed, Oily to Rise
1939	The Oklahoma Kid
1939	The Old Maid
1939	On Borrowed Time
1939	On Dress Parade
1939	On Your Toes
1939	Only Angels Have Wings
1939	On Trial
1939	The Private Lives of Elizabeth and Essex
1939	The Rains Came
1939	Range War
1939	Remember?
1939	The Return of Doctor X
